Name,Type,City,Address,Latitude,Longitude,Price(Rs.),Time
A K Enterprise,amusement park,Ahmedabad,37- A  Meldi Estate  B/H. Pavan Plastics  Opp.Meldi Mata Temple  Nr Gota Railway Crossing  Ahmedabad 380013  Gujarāt,23.023192,72.571617,250,4 hour
A.K.Industries,amusement park,Ahmedabad,N/A  Bhawan Bhai Compound  Ahmedabad 061393  Gujarāt,23.06163,72.563254,350,3 hour 35 min
Ahmedabad Central,mall,Ahmedabad,Ahmedabad 941735  Gujarāt,23.020896,72.554675,0,2 hour 30 min
Ahmedabad One,mall,Ahmedabad,Tp Scheme-1  Ahmedabad 380015  Gujarāt,23.039888,72.531333,0,2 hour 30 min
Amdavad Ni Gufa,art gallery,Ahmedabad,Kasturbhai Lalbhai Campus  University Road (Gujarat University Rd)  Ahmedabad 380009  Gujarāt,23.036217,72.549541,250,2 hour 20 min
Amit Fibre Decor,amusement park,Ahmedabad,B-10 Sankalp Estate  Panna Estate Road  Rakhial  Ahmedabad 380023  Gujarāt,23.021375,72.623924,320,3 hour 32 min
Apsara Art Galleries,art gallery,Ahmedabad,131 Golwadnaka  Ratan Pole  Ahmedabad 380001  Gujarāt,23.026183,72.587759,150,3 hour 30 min
Central Mall,mall,Ahmedabad,Ahmedabad 941735  Gujarāt,23.021015,72.554684,0,2 hour 30 min
Children's Traffic Park,park,Ahmedabad,026204  Gujarāt,23.026098,72.579825,150,2 hour
Church,church,Ahmedabad,,23.046314,72.528701,0,1 hour
city mamlatdar executive magistrate  Asarva Ni Kacheri,monument,Ahmedabad,Meghaninagar (Nr. Civil Hospital)  Ahmedabad 941735  Gujarāt,23.039393,72.523794,40,3 hour
Conflictorium,museum,Ahmedabad,Gool Lodge (R c college  mirzapur)  Ahmedabad 380001  Gujarāt,23.035296,72.586311,140,4 hour
Dmart,mall,Ahmedabad,Shivalik (132 ft ring road  satellite)  Ahmedabad 380015  Gujarāt,23.019453,72.529444,0,2 hour 30 min
Drape Shoppe,art gallery,Ahmedabad,Rembrant  C G Road Above Citi Bank  Ahmedabad 380006  Gujarāt,23.023088,72.571914,200,2 hour 20 min
Galaxy Avenue naroda,mall,Ahmedabad,941735,23.078277,72.653636,0,2 hour 30 min
Gujarat Museum Society,museum,Ahmedabad,Lal Darwaja Institute  Navrangpura  Ahmedabad 380005  Gujarāt,23.037503,72.566411,170,3 hour 10 min
Gurjary Tourism Enterprise Ltd.,monument,Ahmedabad,2 Sahajanand Trade Centre Ellisbridge  Ahmedabad 380006  Gujarāt,23.039555,72.565955,50,4 hour 20 min
Hidden Beauty,art gallery,Ahmedabad,Prerana Tirth Derasar (Anand Nagar)  Ahmedabad 380015  Gujarāt,23.025672,72.587233,150,2 hour 10 min
Jai Shankar Sundari Hall,art gallery,Ahmedabad,Haveli Road  Ahmedabad 020577  Gujarāt,23.020479,72.582451,190,2 hour 50 min
Kalpana Park,park,Ahmedabad,Usmanpura Cross Road  Usmanpura  Ahmedabad 380013  Gujarāt,23.043997,72.572083,50,2 hour
Kankaria,zoo,Ahmedabad,Nr raipur  Ahmedabad  Gujarāt,23.038896,72.527234,270,4 hour 20 min
Kankaria Zoo,zoo,Ahmedabad,Kankaria Lake  Ahmedabad 380022  Gujarāt,23.010716,72.600677,90,3 hour 30 min
Kite Museum,museum,Ahmedabad,Opposite Nid  Ahmedabad 380007  Gujarāt,23.012552,72.569598,250,3 hour 30 min
Mallinath park,park,Ahmedabad,Ahmedabad 380007  Gujarāt,23.003864,72.558886,100,2 hour
Methodist Church Maninagar,church,Ahmedabad,Sionnagar Maninagar East  Ahmedabad 380008  Gujarāt,22.996156,72.619388,0,1 hour
Motilal Park,park,Ahmedabad,,23.000335,72.591663,150,2 hour
Naranpura Exchange,monument,Ahmedabad,941735,23.062024,72.545493,100,5 hour 10 min
Prahaladbhai Patel Joggers Park,park,Ahmedabad,,23.043633,72.554671,100,2 hour
Sabarmati Ashram,museum,Ahmedabad,Nr. Sabarmati River (SH41)  Ahmedabad 380027  Gujarāt,23.060673,72.58072,170,3 hour 10 min
Sardar Patel National Memorial,museum,Ahmedabad,Near Shahibaug Circuit House (Airport Road)  Ahmedabad 369943  Gujarāt,23.057814,72.593256,130,5 hour 10 min
Sarkhej Roza,monument,Ahmedabad,Makarba  Post Jeevraj Park (Near Makarba Tank)  Ahmedabad 380051  Gujarāt,22.992249,72.504559,90,4 hour 10 min
Science City,amusement park,Ahmedabad,Ahmedabad  Gujarāt,23.079187,72.505457,250,2 hour 25 min
Sion Methodist Church,church,Ahmedabad,332 K P Shah Hse  Ahmedabad 380005  Gujarāt,22.995304,72.614934,0,1 hour
St. Xaviers Loyolla Hall Church,church,Ahmedabad,,23.05055,72.545733,0,1 hour
Sundarvan,zoo,Ahmedabad,,23.018433,72.528941,150,3 hour 20 min
Temple,temple,Ahmedabad,Dr Ambedkar Marg  Ahmedabad 380001  Gujarat,23.037629,72.588012,0,2 hour
Temple,temple,Ahmedabad,Lakha Patel Ni Pol Road  Ahmedabad 380001  Gujarat,23.023514,72.591644,0,3 hour
Temple,temple,Ahmedabad,Swami Vivekanand Road  Ahmedabad 380001  Gujarat,23.020382,72.599457,0,2 hour 20 min
Temple,temple,Ahmedabad,Dudheshwar Road  Ahmedabad 380004  Gujarat,23.038616,72.587355,0,2 hour 40 min
Temple,temple,Ahmedabad,Jagannathji Road  Ahmedabad 380022  Gujarat,23.012266,72.588051,0,3 hour 20 min
Thaltej,amusement park,Ahmedabad,Ahmedabad  Ahmedabad  Gujarāt,22.978276,72.608951,300,3 hour 30 min
The Aquarium Shop,zoo,Ahmedabad,G-2  Shakti Palace Complex  Judges Bunglow Road  Vastrapur  Ahmedabad 380015  Gujarāt,23.048723,72.50942,300,4 hour 20 min
The Church Of North India,church,Ahmedabad,Ellisbridge  Ahmedabad  Gujarāt,23.022789,72.55561,0,1 hour
Vasna Telephone Exchane,monument,Ahmedabad,941735,22.998727,72.539055,120,4 hour 10 min
Wild life zoo,zoo,Ahmedabad,941735,23.049049,72.516155,270,3 hour 50 min
All Peoples Church,church,Bangalore,Museum Road (Museum Road)  Bangalore 560001  Karnataka,12.972104,77.604058,0,1 hour
Banerghatta National Park,zoo,Bangalore,Banerghatta  Bangalore  Karnātaka,12.907168,77.595301,200,4 hour 30 min
Cas Aqua,zoo,Bangalore,225 1 St Main  7th Block Koramangala  Bangalore 560095  Karnataka,12.937104,77.61198,250,5 hour 10 min
Chitra Kala Parishad,art gallery,Bangalore,Seshadripuram (Kumarakrupa Rd )  Bangalore 560001  Karnātaka,12.989239,77.581011,200,2 hour 50 min
Cubbon Park,park,Bangalore,M G Road  Bangalore 974742  Karnātaka,12.977173,77.595288,75,2 hour
Cubbon Park- Dog Park,park,Bangalore,974515,12.974508,77.590097,90,2 hour
Cubbon Park Library Play Ground,park,Bangalore,Sampangirama  Bangalore  Karnātaka,12.974398,77.590132,100,2 hour
0dom Park,park,Bangalore,Sheshadri Road (Seshadri Road)  Bangalore 560001  Karnātaka,12.978176,77.58236,75,2 hour
0dom Park,park,Bangalore,175 1st Floor  Bangalore 560053  Karnātaka,12.977589,77.581724,90,2 hour
Funzone,amusement park,Bangalore,Swagath Garuda Mall,12.928802,77.591527,300,3 hour 30 min
Government Aquarium  Cubbon Park,zoo,Bangalore,Kasturba Road  Bangalore 941735  Karnātaka,12.976442,77.598579,150,3 hour 50 min
Jawahar Bal Bhavan,amusement park,Bangalore,Kasturba Road  Bangalore 560001  Karnātaka,12.976055,77.596952,280,2 hour 28 min
Karnataka museum,museum,Bangalore,Kasturba Road (SR Nagar)  Bangalore 562001  Karnātaka,12.974707,77.595701,100,3 hour 30 min
KH Kala Soudha,art gallery,Bangalore,Ramanjaneya Temple Compound  Ground Floor  5th Main Road  Hanumantha (Hanumantha Nagar  Basavanagudi)  Bangalore 560019  Karnātaka,12.944414,77.562383,170,3 hour 30 min
King Edward 7 Statue,monument,Bangalore,Cubbon Park  Bangalore 560001  Karnātaka,12.978802,77.597342,60,3 hour 30 min
Mahatma Gandhi Statue,monument,Bangalore,Bangalore 560001  Karnātaka,12.978545,77.589661,60,4 hour 10 min
Mahatma Gandhi Statue,monument,Bangalore,Bangalore 560001  Karnātaka,12.978479,77.589648,50,3 hour 30 min
Mahatma Gandhi Statue,monument,Bangalore,Bangalore 560001  Karnātaka,12.978545,77.589489,70,4 hour 20 min
MKF Museum Of Art,museum,Bangalore,Bangalore 560001  Karnātaka,12.970642,77.597794,200,4 hour 10 min
Museum Of Art and Photography (MAP),museum,Bangalore,Bangalore 560001  Karnātaka,12.974485,77.596753,220,4 hour 20 min
National Gallery of Modern Art,museum,Bangalore,49 Manikyavelu Mansion  Palace Road  Beside Devdas Petrol Bunk  Bangalore 560052  Karnātaka,12.989783,77.588118,130,5 hour 10 min
Nexus Mall Koramangala,mall,Bangalore,Kormangala  Bangalore 560029  Karnātaka,12.934663,77.611423,0,2 hour 30 min
Orion Mall,mall,Bangalore,Dr. Rajkumar Rd  Rajajinagar  Bangalore 560055  Karnātaka,13.011306,77.554906,0,2 hour 30 min
Raintree,art gallery,Bangalore,Plot No 4  High Grounds  Sankey Road  Vasanthnagar  Bangalore 560001  Karnātaka,12.994702,77.584652,190,2 hour 10 min
Rangoli Art Center,art gallery,Bangalore,M.G Road  Bangalore  Karnātaka,12.975856,77.604023,230,3 hour 10 min
Sacred Heart Church,church,Bangalore,62 Richmond Road  Bangalore 560025  Karnātaka,12.96637,77.609366,0,1 hour
Sai Baba Temple,temple,Bangalore,Malleshwaram  Bangalore 562164  Karnātaka,13.004581,77.571419,50,3 hour
Shaaditweet.Com,amusement park,Bangalore,Flushing Meadows (doddenakundi)  Bangalore 560037  Karnātaka,12.978858,77.593855,300,3 hour 30 min
Shirdi Sai Baba Temple,temple,Bangalore,Cambridge Layout (Cambridge Road)  Bangalore 560038  Karnātaka,12.96959,77.630563,50,2 hour
Shiva Temple,temple,Bangalore,Murudeshwar Nh - 17 (Bhatkal Taluk)  562109  Karnātaka,13.004654,77.621377,50,3 hour
Smaaash Bengaluru,amusement park,Bangalore,1Mg-Lido Mall  Trinity Circle  Mg Road  Bangalore 560001  Karnātaka,12.974993,77.607804,350,3 hour 35 min
Sri Ramanjanaya Temple,temple,Bangalore,Bangalore 941735  Karnātaka,12.984279,77.603453,50,2 hour
St. Andrew's Church,church,Bangalore,Bangalore 560001  Karnātaka,12.979107,77.603943,0,1 hour
St. Patrick's Church,church,Bangalore,At Museum Road  Bangalore 560078  Karnātaka,12.970286,77.606152,0,1 hour
St. Peter's Telugu Church,church,Bangalore,10 1st Cross Mission Compound  Bangalore 560027  Karnātaka,12.96293,77.588588,0,1 hour
Star city  fun world,amusement park,Bangalore,Palace Grounds  Bangalore  Karnātaka,13.006652,77.59243,400,4 hour 40 min
Temple,temple,Bangalore,Raja Ram Mohan Roy Road  Bangalore 560027  Karnataka,12.967823,77.59303,0,3 hour
UB City Tower,mall,Bangalore,Ub City  24  Vittal Mallya Road  Kg Halli  Shanthala Nagar  Sampangi Rama  Bangalore 560001  Karnātaka,12.971673,77.596055,0,2 hour 30 min
Vega City,mall,Bangalore,Bannerghatta Main Road  Btm Layout Stage 2  Kaverappa Industrial Estate  Bangalore 560076  Karnātaka,12.907649,77.60102,0,2 hour 30 min
Venkatappa Art Gallery,art gallery,Bangalore,Kasturba Road Cubbon Park  Bangalore 560001  Karnātaka,12.974272,77.595325,200,2 hour 20 min
Vidhana Soudha,monument,Bangalore,Vidhan Veedi (Nr Cubbon Park)  Bangalore 560001  Karnātaka,12.979105,77.591783,60,4 hour 20 min
Village Supermarket,mall,Bangalore,Bangalore 941735  Karnātaka,12.999527,77.623096,0,2 hour 30 min
Visvesvaraya Industrial and Technological Museum,museum,Bangalore,Kasturba Road  Cubbon Park  Bangalore 560001  Karnātaka,12.975162,77.596482,170,3 hour 10 min
Aashima Mall,mall,Bhopal,,23.182902,77.456227,0,2 hour 30 min
Art Center,art gallery,Bhopal,A 29 Hbc (nh 12)  Bhopal 267835  Madhya Pradesh,23.267706,77.377675,190,2 hour 20 min
Bharat Bhawan,art gallery,Bhopal,Shamla Hills  Tt  Bhopal 247048  Madhya Pradesh,23.246989,77.392279,250,2 hour 50 min
